person_name,score
Marcy Kaptur,0.15000000000000002
James E. Clyburn,0.15000000000000002
Jose E. Serrano,0.15000000000000002
Alan B. Mollohan,0.15000000000000002
Sonny Callahan,0.15000000000000002
Robert E. (Bud) Cramer Jr.,0.15000000000000002
Earl F. Hilliard,0.15000000000000002
Bob Riley,0.15000000000000002
Paul E. Kanjorski,0.15000000000000002
Felix J. Grucci Jr.,0.15000000000000002
John W. Olver,0.15000000000000002
Keith Ellison,0.15000000000000002
George V. Voinovich,0.15000000000000002
Ernie Fletcher,0.15000000000000002
William L. Jenkins,0.15000000000000002
Martin T. Meehan,0.15000000000000002
Bill Delahunt,0.15000000000000002
Cedric L. Richmond,0.15000000000000002
Marcia L. Fudge,0.15000000000000002
Solomon P. Ortiz,0.15000000000000002
Tim Ryan,0.15000000000000002
Madeleine Z. Bordallo,0.15000000000000002
Tom Udall,0.15000000000000002
Donald A. Manzullo,0.15000000000000002
Gwen Moore,0.15000000000000002
Melvin L. Watt,0.15000000000000002
Maxine Waters,0.15000000000000002
Lloyd Doggett,0.15000000000000002
Martin Frost,0.15000000000000002
Thomas R. Carper,0.15000000000000002
Mark L. Pryor,0.15000000000000002
Brian D. Kerns,0.15000000000000002
Doug Bereuter,0.15000000000000002
J. C. Watts Jr.,0.15000000000000002
Mac Collins,0.15000000000000002
Wes Watkins,0.15000000000000002
Edward L. Schrock,0.15000000000000002
Tom Osborne,0.15000000000000002
Mark Dayton,0.15000000000000002
Conrad R. Burns,0.15000000000000002
Jean Carnahan,0.15000000000000002
Paul S. Sarbanes,0.15000000000000002
Robert F. Bennett,0.15000000000000002
Jon Kyl,0.15000000000000002
Strom Thurmond,0.15000000000000002
Kay Bailey Hutchison,0.15000000000000002
Jim Bunning,0.15000000000000002
Phil Gramm,0.15000000000000002
Don Nickles,0.15000000000000002
John B. Breaux,0.15000000000000002
David E. Price,0.15000000000000002
Eleanor Holmes Norton,0.15000000000000002
James L. Oberstar,0.15000000000000002
Richard E. Neal,0.15000000000000002
Vic Snyder,0.15000000000000002
Spencer Abraham,0.15000000000000002
Paul Coverdell,0.15000000000000002
Frank H. Murkowski,0.15000000000000002
Thomas J. Rooney,0.15000000000000002
Dennis A. Ross,0.15000000000000002
Richard B. Nugent,0.15000000000000002
Dan Benishek,0.15000000000000002
Jeff Duncan,0.15000000000000002
Todd Rokita,0.15000000000000002
Kevin Yoder,0.15000000000000002
Vicky Hartzler,0.15000000000000002
Robert T. Schilling,0.15000000000000002
Christopher P. Gibson,0.15000000000000002
Kristi L. Noem,0.15000000000000002
Tom Graves,0.15000000000000002
Billy Long,0.15000000000000002
Robert J. Wittman,0.15000000000000002
Ronnie Shows,0.15000000000000002
Michael P. Forbes,0.15000000000000002
Bob Stump,0.15000000000000002
Tom Campbell,0.15000000000000002
Matt Salmon,0.15000000000000002
David M. McIntosh,0.15000000000000002
Julian C. Dixon,0.15000000000000002
Richard K. Armey,0.15000000000000002
Anne M. Northup,0.15000000000000002
Peter Deutsch,0.15000000000000002
J. D. Hayworth,0.15000000000000002
Jack Kingston,0.15000000000000002
Jennifer Dunn,0.15000000000000002
James H. Maloney,0.15000000000000002
Robert A. Underwood,0.15000000000000002
Martin Olav Sabo,0.15000000000000002
John Edward Porter,0.15000000000000002
Ken Lucas,0.15000000000000002
George R. Nethercutt Jr.,0.15000000000000002
Ron Klink,0.15000000000000002
Tom Bliley,0.15000000000000002
William F. Goodling,0.15000000000000002
Nathan Deal,0.15000000000000002
Jim Turner,0.15000000000000002
Robert A. Weygand,0.15000000000000002
Lynn N. Rivers,0.15000000000000002
Robert A. Borski,0.15000000000000002
Richard W. Pombo,0.15000000000000002
Rick Hill,0.15000000000000002
Bruce F. Vento,0.15000000000000002
Jack Metcalf,0.15000000000000002
Randy (Duke) Cunningham,0.15000000000000002
Dan Miller,0.15000000000000002
Rick Lazio,0.15000000000000002
Gerald D. Kleczka,0.15000000000000002
Herbert H. Bateman,0.15000000000000002
Frank Mascara,0.15000000000000002
Ed Whitfield,0.15000000000000002
Merrill Cook,0.15000000000000002
David Vitter,0.15000000000000002
Sue W. Kelly,0.15000000000000002
Benjamin L. Cardin,0.15000000000000002
Ed Bryant,0.15000000000000002
Steve Largent,0.15000000000000002
Rod R. Blagojevich,0.15000000000000002
Joel Hefley,0.15000000000000002
Robert T. Matsui,0.15000000000000002
David Minge,0.15000000000000002
David D. Phelps,0.15000000000000002
David Dreier,0.15000000000000002
Jim Kolbe,0.15000000000000002
William J. Coyne,0.15000000000000002
James A. Barcia,0.15000000000000002
Norman Sisisky,0.15000000000000002
Carrie P. Meek,0.15000000000000002
Bob Franks,0.15000000000000002
