name,value
Nathan Deal,0.15
Jim Turner,0.15
Robert A. Weygand,0.15
Lynn N. Rivers,0.15
Robert A. Borski,0.15
Richard W. Pombo,0.15
Rick Hill,0.15
Bruce F. Vento,0.15
Jack Metcalf,0.15
Randy (Duke) Cunningham,0.15
Dan Miller,0.15
Rick Lazio,0.15
Gerald D. Kleczka,0.15
Herbert H. Bateman,0.15
Frank Mascara,0.15
Ed Whitfield,0.15
Merrill Cook,0.15
David Vitter,0.15
Sue W. Kelly,0.15
Benjamin L. Cardin,0.15
Ed Bryant,0.15
Steve Largent,0.15
Rod R. Blagojevich,0.15
Joel Hefley,0.15
Robert T. Matsui,0.15
David Minge,0.15
David D. Phelps,0.15
David Dreier,0.15
John S. Tanner,0.15
Jim Kolbe,0.15
William J. Coyne,0.15
James A. Barcia,0.15
Norman Sisisky,0.15
Carrie P. Meek,0.15
Bob Franks,0.15
Nick Smith,0.15
Bill Luther,0.15
Mark Sanford,0.15
Steven T. Kuykendall,0.15
Jim Nussle,0.15
Xavier Becerra,0.15
Charles W. Stenholm,0.15
Doug Ose,0.15
Bob Clement,0.15
Richard A. Gephardt,0.15
Karen McCarthy,0.15
Asa Hutchinson,0.15
Donna M. Christensen,0.15
Bill Barrett,0.15
Ken Bentsen,0.15
Henry Bonilla,0.15
Kevin Brady,0.15
Charles T. Canady,0.15
Gary A. Condit,0.15
Calvin M. Dooley,0.15
Chet Edwards,0.15
Tillie Fowler,0.15
David L. Hobson,0.15
Matthew G. Martinez,0.15
Ron Packard,0.15
Carlos A. Romero-Barcelo,0.15
"John M. Spratt, Jr.",0.15
James A. Traficant Jr.,0.15
Curt Weldon,0.15
Christopher Cox,0.15
Collin C. Peterson,0.15
Charles F. Bass,0.15
Charles H. Taylor,0.15
James E. Rogan,0.15
Pat Danner,0.15
Tom Coburn,0.15
Katherine Harris,0.15
Thomas E. Petri,0.15
John J.H. "Joe" Schwarz,0.15
Nancy L. Johnson,0.15
Jo Ann Davis,0.15
Rick Boucher,0.15
Jean Schmidt,0.15
Jim Talent,0.15
Ed Case,0.15
Rod Grams,0.15
Cynthia A. McKinney,0.15
Lane Evans,0.15
William O. Lipinski,0.15
Amo Houghton,0.15
John J. LaFalce,0.15
Earl Pomeroy,0.15
John Cooksey,0.15
Carolyn C. Kilpatrick,0.15
John R. Kasich,0.15
James M. Jeffords,0.15
Thomas M. Barrett,0.15
William (Bill) Clay,0.15
Jack Quinn,0.15
Patsy T. Mink,0.15
"George E. Brown, Jr.",0.15
John Elias Baldacci,0.15
Tim Roemer,0.15
Steve Buyer,0.15
Jim Gibbons,0.15
James V. Hansen,0.15
Christopher John,0.15
Tom Sawyer,0.15
Ralph Regula,0.15
Charles S. Robb,0.15
Mark R. Kennedy,0.15
Bill Shuster,0.15
Chris Chocola,0.15
Bob Beauprez,0.15
Max Burns,0.15
Stevan Pearce,0.15
Brad Carson,0.15
Ray LaHood,0.15
Max Sandlin,0.15
Mitch McConnell,0.15
Andre Carson,0.15
Donald J. Cazayoux Jr.,0.15
John A. Boehner,0.15
Scott McInnis,0.15
Rob Portman,0.15
E. Clay Shaw Jr.,0.15
"Charles W. Boustany, Jr.",0.15
Bob Inglis,0.15
G. K. Butterfield,0.15
Robert J. Wittman,0.15
Tim Hutchinson,0.15
Slade Gorton,0.15
J. Robert Kerrey,0.15
Craig Thomas,0.15
John Cornyn,0.15
Richard H. Bryan,0.15
Laura Richardson,0.15
Donna F. Edwards,0.15
C. L. (Butch) Otter,0.15
Jim McCrery,0.15
Denise L. Majette,0.15
Kenny C. Hulshof,0.15
William J. Janklow,0.15
Jeb Bradley,0.15
Anibal Acevedo-Vila,0.15
Eva M. Clayton,0.15
Peter Fitzgerald,0.15
Robert L. Ehrlich Jr.,0.15
Bob Schaffer,0.15
John Thune,0.15
Jay Dickey,0.15
Mel Martinez,0.15
Elizabeth Dole,0.15
Bill Foster,0.15
Paul C. Broun,0.15
Bob Corker,0.15
Nydia M. Velazquez,0.15
John  Barrasso,0.15
